company,url
WotNot,https://wotnot.io/
Reliance Jio,https://www.jio.com/help/home#/
Infobip,https://www.infobip.com
VFS Global,https://visa.vfsglobal.com/ind/en/deu/contact-us
Howly,https://howly.com/info/contact-us/
Vainu,https://www.vainu.com
Eye-OO,https://www.eye-oo.com
Kommunicate,https://www.kommunicate.io/
Orange NO Chatbot,https://orange.jo/en/pages/djingo
Salesforce,https://www.salesforce.com/company/contact-us/?d=cta-header-9
AT&T,https://www.att.com/support/
IHerb,https://ar.iherb.com/help/contact
PluralSight,https://www.pluralsight.com
Samsung,https://www.samsung.com/latin_en/support/contact/#start-chat
Two pages,https://twopagescurtains.com
SSH,https://www.sshxl.nl/en
HSBC Bank,https://www.hsbc.com.hk/ways-to-bank/live-chat/
Sensely,https://sensely.com/
Gelin,https://gelindiamond.com
AWS,https://aws.amazon.com/chatbot
Standard Chartered,https://www.sc.com/hk/help/chat-with-us/
Elsevier - Scopus,https://service.elsevier.com/app/home/supporthub/scopus/
Englishpath,https://www.englishpath.com
GoFynd,https://www.gofynd.com
1800Flowers,https://www.1800flowers.com
Esure,https://www.esure.com/
Oneclickdirect,https://www.oneclickdirect.co.uk/insurer-chat/
Nykaa,https://www.nykaa.com
Bloomsybox,https://www.bloomsybox.com
Seattle Ballooning,https://seattleballooning.com
